id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2565738,4,4,5,5,4,no,heuristic-fallback
823168,3,3,5,5,3,no,heuristic-fallback
2266152,3,3,5,5,3,no,heuristic-fallback
2183235,3,5,5,5,3,no,heuristic-fallback
1762231,3,4,5,5,3,no,heuristic-fallback
763030,2,5,5,5,2,no,heuristic-fallback
2441809,1,4,5,5,1,no,heuristic-fallback
82123,2,3,5,5,2,no,heuristic-fallback
985205,2,4,5,5,2,no,heuristic-fallback
394455,3,3,5,5,3,no,heuristic-fallback
2849293,2,4,5,5,2,no,heuristic-fallback
2686611,3,4,5,5,3,no,heuristic-fallback
871255,2,4,5,5,2,no,heuristic-fallback
2139906,3,3,5,5,3,no,heuristic-fallback
1005740,3,3,5,5,3,no,heuristic-fallback
839811,2,3,5,5,2,no,heuristic-fallback
2227075,2,4,5,5,2,no,heuristic-fallback
841032,3,3,5,5,3,no,heuristic-fallback
2638,2,3,5,5,2,no,heuristic-fallback
1353641,1,3,5,5,1,no,heuristic-fallback
173756,1,4,5,5,1,no,heuristic-fallback
1002762,5,3,5,5,3,no,heuristic-fallback
625651,2,4,5,5,2,no,heuristic-fallback
1152809,5,4,5,5,4,no,heuristic-fallback
2838682,5,3,5,5,3,no,heuristic-fallback
1821487,2,5,5,5,2,no,heuristic-fallback
2343172,3,4,5,5,3,no,heuristic-fallback
2019586,2,4,5,5,2,no,heuristic-fallback
1942937,2,4,5,5,2,no,heuristic-fallback
1487149,1,4,5,5,1,no,heuristic-fallback
2148146,4,4,5,5,4,no,heuristic-fallback
2664912,2,2,5,5,2,no,heuristic-fallback
174956,3,3,5,5,3,no,heuristic-fallback
815395,1,4,5,5,1,no,heuristic-fallback
1101951,3,5,5,5,3,no,heuristic-fallback
676484,2,4,5,5,2,no,heuristic-fallback
1966252,2,4,5,5,2,no,heuristic-fallback
888454,3,2,5,5,2,no,heuristic-fallback
1540636,1,3,5,5,1,no,heuristic-fallback
1869066,2,4,5,5,2,no,heuristic-fallback
2025310,1,4,5,5,1,no,heuristic-fallback
545306,1,4,5,5,1,no,heuristic-fallback
2419762,2,5,5,5,2,no,heuristic-fallback
2079339,2,4,5,5,2,no,heuristic-fallback
1181740,2,2,5,5,2,no,heuristic-fallback
2615176,2,4,5,5,2,no,heuristic-fallback
2083382,3,3,5,5,3,no,heuristic-fallback
1072753,3,4,5,5,3,no,heuristic-fallback
1630263,2,4,5,5,2,no,heuristic-fallback
2849158,1,4,5,5,1,no,heuristic-fallback
1700991,2,5,5,5,2,no,heuristic-fallback
1380027,2,4,5,5,2,no,heuristic-fallback
1989949,2,5,5,5,2,no,heuristic-fallback
1579173,2,4,5,5,2,no,heuristic-fallback
1557830,4,4,5,5,4,no,heuristic-fallback
1365317,2,4,5,5,2,no,heuristic-fallback
889614,2,4,5,5,2,no,heuristic-fallback
1203437,3,3,5,5,3,no,heuristic-fallback
242382,2,4,5,5,2,no,heuristic-fallback
1700794,3,4,5,5,3,no,heuristic-fallback
2442765,2,5,5,5,2,no,heuristic-fallback
1678003,2,4,5,5,2,no,heuristic-fallback
50801,2,4,5,5,2,no,heuristic-fallback
1631154,3,4,5,5,3,no,heuristic-fallback
248734,1,5,5,5,1,no,heuristic-fallback
1269422,3,5,5,5,3,no,heuristic-fallback
1846014,3,3,5,5,3,no,heuristic-fallback
1209985,2,3,5,5,2,no,heuristic-fallback
124113,2,4,5,5,2,no,heuristic-fallback
286723,2,3,5,5,2,no,heuristic-fallback
372899,5,3,5,5,3,no,heuristic-fallback
613197,2,4,5,5,2,no,heuristic-fallback
412472,2,4,5,5,2,no,heuristic-fallback
1763686,3,3,5,5,3,no,heuristic-fallback
675050,1,4,5,5,1,no,heuristic-fallback
889103,5,3,5,5,3,no,heuristic-fallback
1065125,5,3,5,5,3,no,heuristic-fallback
1970950,2,5,5,5,2,no,heuristic-fallback
2773274,3,3,5,5,3,no,heuristic-fallback
1907930,4,4,5,5,4,no,heuristic-fallback
2919996,2,4,5,5,2,no,heuristic-fallback
1040180,1,3,5,5,1,no,heuristic-fallback
1645459,1,5,5,5,1,no,heuristic-fallback
808749,3,2,5,5,2,no,heuristic-fallback
977094,4,4,5,5,4,no,heuristic-fallback
2626933,2,4,5,5,2,no,heuristic-fallback
593340,2,4,5,5,2,no,heuristic-fallback
2797231,3,4,5,5,3,no,heuristic-fallback
1861922,3,5,5,5,3,no,heuristic-fallback
2476070,1,4,5,5,1,no,heuristic-fallback
2868559,3,5,5,5,3,no,heuristic-fallback
1708752,3,4,5,5,3,no,heuristic-fallback
1974906,4,3,5,5,3,no,heuristic-fallback
2728203,2,3,5,5,2,no,heuristic-fallback
2358746,4,4,5,5,4,no,heuristic-fallback
567671,3,5,5,5,3,no,heuristic-fallback
282312,3,4,5,5,3,no,heuristic-fallback
2468992,2,3,5,5,2,no,heuristic-fallback
1803304,3,3,5,5,3,no,heuristic-fallback
1587039,3,5,5,5,3,no,heuristic-fallback
1537694,1,3,5,5,1,no,heuristic-fallback
2292397,3,4,5,5,3,no,heuristic-fallback
1363862,1,4,5,5,1,no,heuristic-fallback
