id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2565738,3,4,5,5,3,no,gpt-llm
823168,1,1,1,5,1,no,gpt-llm
2266152,1,1,1,5,1,no,gpt-llm
2183235,5,5,5,5,5,no,gpt-llm
1762231,5,5,5,5,5,no,gpt-llm
763030,4,5,5,5,4,no,gpt-llm
2441809,1,1,1,5,1,no,gpt-llm
82123,2,3,5,5,2,no,gpt-llm
985205,4,4,4,5,4,no,gpt-llm
394455,3,3,5,5,3,no,gpt-llm
2849293,2,4,5,5,2,no,gpt-llm
2686611,4,4,5,5,4,no,gpt-llm
871255,5,4,5,5,4,no,gpt-llm
2139906,3,3,5,5,3,no,gpt-llm
1005740,5,5,5,5,5,no,gpt-llm
839811,1,1,3,5,1,no,gpt-llm
2227075,2,4,5,5,2,no,gpt-llm
841032,2,4,4,5,2,no,gpt-llm
2638,1,1,2,5,1,no,gpt-llm
1353641,3,5,5,5,3,no,gpt-llm
173756,5,5,5,5,5,no,gpt-llm
1002762,1,1,1,5,1,no,gpt-llm
625651,1,1,1,5,1,no,gpt-llm
1152809,5,4,5,5,4,no,gpt-llm
2838682,2,2,5,5,2,no,gpt-llm
1821487,5,5,5,5,5,no,gpt-llm
2343172,3,2,4,5,2,no,gpt-llm
2019586,5,5,5,5,5,no,gpt-llm
1942937,5,5,5,5,5,no,gpt-llm
1487149,5,5,5,5,5,no,gpt-llm
2148146,4,4,5,5,4,no,gpt-llm
2664912,4,5,5,5,4,no,heuristic-fallback
174956,1,1,1,5,1,no,gpt-llm
815395,3,4,5,5,3,no,gpt-llm
1101951,5,4,5,5,4,no,gpt-llm
676484,1,1,1,5,1,no,gpt-llm
1966252,5,5,5,5,5,no,gpt-llm
888454,5,5,5,5,5,no,gpt-llm
1540636,2,2,4,5,2,no,gpt-llm
1869066,5,4,5,5,4,no,gpt-llm
2025310,1,1,1,5,1,no,gpt-llm
545306,5,4,5,5,4,no,gpt-llm
2419762,1,1,1,5,1,no,gpt-llm
2079339,1,1,1,5,1,no,gpt-llm
1181740,1,1,1,5,1,no,gpt-llm
2615176,4,4,5,5,4,no,gpt-llm
2083382,4,4,5,5,4,no,gpt-llm
1072753,4,3,5,5,3,no,gpt-llm
1630263,3,3,4,5,3,no,gpt-llm
2849158,4,3,5,5,3,no,gpt-llm
1700991,2,4,5,5,2,no,gpt-llm
1380027,4,3,4,5,3,no,gpt-llm
1989949,1,1,1,5,1,no,gpt-llm
1579173,1,1,1,5,1,no,gpt-llm
1557830,4,4,5,5,4,no,gpt-llm
1365317,3,3,5,5,3,no,gpt-llm
889614,4,3,5,5,3,no,gpt-llm
1203437,5,5,5,5,5,no,gpt-llm
242382,1,1,1,5,1,no,gpt-llm
1700794,1,1,1,5,1,no,gpt-llm
2442765,4,3,5,5,3,no,gpt-llm
1678003,4,3,5,5,3,no,gpt-llm
50801,3,3,5,5,3,no,gpt-llm
1631154,1,1,1,5,1,no,gpt-llm
248734,2,3,4,5,2,no,gpt-llm
1269422,3,4,5,5,3,no,gpt-llm
1846014,4,3,5,5,3,no,gpt-llm
1209985,4,5,5,5,4,no,gpt-llm
124113,2,2,4,1,1,no,gpt-llm
286723,5,5,5,5,5,no,gpt-llm
372899,1,1,3,5,1,no,gpt-llm
613197,1,1,1,5,1,no,gpt-llm
412472,1,1,1,5,1,no,gpt-llm
1763686,2,2,4,5,2,no,gpt-llm
675050,1,1,2,5,1,no,gpt-llm
889103,3,2,5,5,2,no,gpt-llm
1065125,4,3,4,5,3,no,gpt-llm
1970950,1,1,1,5,1,no,gpt-llm
2773274,2,3,5,5,2,no,gpt-llm
1907930,4,5,5,5,4,no,gpt-llm
2919996,5,5,5,5,5,no,gpt-llm
1040180,3,3,5,5,3,no,gpt-llm
1645459,3,3,5,5,3,no,gpt-llm
808749,1,1,2,5,1,yes,gpt-llm
977094,5,5,5,5,5,no,gpt-llm
2626933,1,1,1,5,1,no,gpt-llm
593340,5,4,4,5,4,no,gpt-llm
2797231,3,3,5,5,3,no,gpt-llm
1861922,4,4,5,5,4,no,gpt-llm
2476070,1,1,1,5,1,no,gpt-llm
2868559,5,5,5,5,5,no,gpt-llm
1708752,1,1,4,5,1,yes,gpt-llm
1974906,1,1,1,5,1,no,gpt-llm
2728203,1,1,2,5,1,no,gpt-llm
2358746,1,1,1,5,1,no,gpt-llm
567671,2,2,5,5,2,no,gpt-llm
282312,5,4,5,5,4,no,gpt-llm
2468992,5,4,4,5,4,no,gpt-llm
1803304,4,4,5,5,4,no,gpt-llm
1587039,1,1,1,5,1,no,gpt-llm
1537694,5,5,5,5,5,no,gpt-llm
2292397,1,1,2,5,1,no,gpt-llm
1363862,3,4,5,5,3,no,gpt-llm
2527931,1,1,1,5,1,no,gpt-llm
188304,1,1,2,5,1,no,gpt-llm
2868486,2,1,5,5,1,no,gpt-llm
2247445,1,1,1,5,1,no,gpt-llm
1031584,1,1,3,5,1,no,gpt-llm
1800951,1,1,1,5,1,no,gpt-llm
1087447,1,1,1,5,1,no,gpt-llm
292784,5,4,5,5,4,no,gpt-llm
2803432,1,1,1,5,1,no,gpt-llm
1094331,5,5,5,5,5,no,gpt-llm
2229502,1,1,1,1,1,no,gpt-llm
681584,5,5,5,5,5,no,gpt-llm
2185275,4,4,5,5,4,no,gpt-llm
239810,1,1,1,5,1,no,gpt-llm
342843,4,2,4,5,2,no,gpt-llm
984518,5,5,5,5,5,no,gpt-llm
2341849,5,4,5,5,4,no,gpt-llm
2613353,1,1,1,5,1,no,gpt-llm
1829967,3,3,4,5,3,no,gpt-llm
706928,2,3,4,5,2,no,gpt-llm
2575845,5,4,5,5,4,no,gpt-llm
1418051,1,1,1,5,1,no,gpt-llm
948547,5,5,5,5,5,no,gpt-llm
2403568,1,1,1,5,1,no,gpt-llm
2766614,4,4,5,5,4,no,gpt-llm
2072056,3,3,5,5,3,no,gpt-llm
244981,5,4,5,5,4,no,gpt-llm
1213499,5,4,5,5,4,no,gpt-llm
536644,3,4,5,5,3,no,gpt-llm
92536,3,4,4,5,3,no,gpt-llm
2090573,5,5,5,5,5,no,gpt-llm
2703215,1,1,1,5,1,no,gpt-llm
2707376,3,3,4,5,3,yes,gpt-llm
2505744,5,5,5,5,5,no,gpt-llm
571118,1,1,1,5,1,no,gpt-llm
486268,1,1,1,5,1,no,gpt-llm
1962955,2,4,5,5,2,yes,gpt-llm
2473499,1,1,3,5,1,no,gpt-llm
1919846,2,3,5,5,2,no,gpt-llm
457633,1,1,1,5,1,no,gpt-llm
417439,3,3,4,5,3,no,gpt-llm
327533,4,3,5,5,3,no,gpt-llm
2590442,1,1,2,5,1,no,gpt-llm
1649067,1,1,1,5,1,no,gpt-llm
2037673,2,3,5,5,2,no,gpt-llm
410513,5,5,5,5,5,no,gpt-llm
2920233,4,4,5,5,4,no,gpt-llm
613175,5,4,5,5,4,no,gpt-llm
1521851,3,4,5,5,3,no,gpt-llm
2545711,1,1,1,5,1,no,gpt-llm
1868546,3,3,4,5,3,no,gpt-llm
2413038,3,4,4,5,3,no,gpt-llm
2523431,4,2,5,5,2,no,gpt-llm
1846045,5,3,4,5,3,no,gpt-llm
948956,4,4,4,5,4,no,gpt-llm
2057065,1,1,2,5,1,no,gpt-llm
894888,2,4,4,5,2,no,gpt-llm
194326,1,2,4,5,1,no,gpt-llm
2793128,1,1,1,5,1,no,gpt-llm
2532785,5,4,4,5,4,no,gpt-llm
743003,1,1,4,5,1,no,gpt-llm
1858198,5,5,5,5,5,no,gpt-llm
2371132,3,5,5,5,3,no,gpt-llm
2630184,2,3,5,5,2,no,gpt-llm
2605280,1,1,1,5,1,no,gpt-llm
388101,5,5,5,5,5,no,gpt-llm
1834073,3,2,5,5,2,no,gpt-llm
2743086,4,3,5,5,3,no,gpt-llm
2945814,4,4,5,5,4,no,gpt-llm
1889045,1,1,1,5,1,no,gpt-llm
609631,4,4,5,5,4,no,gpt-llm
536789,3,4,5,5,3,no,gpt-llm
1690082,5,5,5,5,5,no,gpt-llm
529439,5,4,5,5,4,no,gpt-llm
215808,3,3,5,5,3,no,gpt-llm
499467,4,5,5,5,4,no,gpt-llm
699627,3,3,5,5,3,no,gpt-llm
146585,1,1,2,5,1,no,gpt-llm
852590,4,3,5,5,3,no,heuristic-fallback
1576955,1,1,5,5,1,no,gpt-llm
1421340,4,5,5,5,4,no,gpt-llm
874518,4,2,5,5,2,no,gpt-llm
1655467,2,4,5,5,2,no,gpt-llm
2915940,4,3,4,5,3,no,gpt-llm
2565925,3,3,5,5,3,no,gpt-llm
2683859,4,4,5,5,4,no,gpt-llm
1837267,2,1,5,5,1,no,gpt-llm
446491,3,5,5,5,3,no,gpt-llm
1812047,4,4,5,5,4,no,gpt-llm
2676624,1,1,1,1,1,no,gpt-llm
2754477,2,2,3,5,2,no,gpt-llm
8553,2,3,4,5,2,no,gpt-llm
556226,4,4,5,5,4,no,gpt-llm
595327,5,5,5,5,5,no,gpt-llm
756619,2,3,5,5,2,no,gpt-llm
1205835,1,2,5,5,1,no,gpt-llm
2312550,5,5,5,5,5,no,gpt-llm
