id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2565738,4,4,5,5,4,no,gpt-llm
823168,3,4,5,5,3,no,gpt-llm
2266152,4,4,5,5,4,no,gpt-llm
2183235,5,5,5,5,5,no,gpt-llm
1762231,5,5,5,5,5,no,gpt-llm
763030,4,5,5,5,4,no,gpt-llm
2441809,5,5,5,5,5,no,gpt-llm
82123,5,5,5,5,5,no,gpt-llm
985205,5,5,5,5,5,no,gpt-llm
394455,4,5,5,5,4,no,gpt-llm
2849293,2,4,5,5,2,no,gpt-llm
2686611,5,5,5,5,5,no,gpt-llm
871255,3,3,5,5,3,no,gpt-llm
2139906,3,3,5,5,3,no,gpt-llm
1005740,5,5,5,5,5,no,gpt-llm
839811,5,5,5,5,5,no,gpt-llm
2227075,3,4,5,5,3,no,gpt-llm
841032,5,5,5,5,5,no,gpt-llm
2638,2,3,5,5,2,no,gpt-llm
1353641,2,4,5,5,2,no,gpt-llm
173756,5,4,5,5,4,no,gpt-llm
1002762,4,4,5,5,4,no,gpt-llm
625651,5,5,5,5,5,no,gpt-llm
1152809,3,3,5,5,3,no,gpt-llm
2838682,4,4,5,5,4,no,gpt-llm
1821487,3,5,5,5,3,no,gpt-llm
2343172,5,5,5,5,5,no,gpt-llm
2019586,5,5,5,5,5,no,gpt-llm
1942937,1,1,5,5,1,no,gpt-llm
1487149,1,1,5,5,1,no,gpt-llm
2148146,4,4,5,5,4,no,gpt-llm
2664912,5,5,5,5,5,no,gpt-llm
174956,2,4,5,5,2,no,gpt-llm
815395,2,3,5,5,2,no,gpt-llm
1101951,5,5,5,5,5,no,gpt-llm
676484,5,4,5,5,4,no,gpt-llm
1966252,5,5,5,5,5,no,gpt-llm
888454,5,5,5,5,5,no,gpt-llm
1540636,5,4,5,5,4,no,gpt-llm
1869066,5,5,5,5,5,no,gpt-llm
2025310,2,3,5,5,2,no,gpt-llm
545306,3,3,5,5,3,no,gpt-llm
2419762,4,5,5,5,4,no,gpt-llm
2079339,4,5,5,5,4,no,gpt-llm
1181740,3,5,5,5,3,no,gpt-llm
2615176,5,5,5,5,5,no,gpt-llm
2083382,3,2,5,5,2,no,gpt-llm
1072753,2,3,5,5,2,yes,gpt-llm
1630263,5,5,5,5,5,no,gpt-llm
2849158,2,3,5,5,2,no,gpt-llm
1700991,2,3,5,5,2,no,gpt-llm
1380027,5,5,5,5,5,no,gpt-llm
1989949,4,5,5,5,4,no,gpt-llm
1579173,5,4,5,5,4,no,gpt-llm
1557830,3,3,5,5,3,no,gpt-llm
1365317,3,2,5,5,2,no,gpt-llm
889614,5,5,5,5,5,no,gpt-llm
1203437,5,1,5,5,1,no,gpt-llm
242382,5,5,5,5,5,no,gpt-llm
1700794,2,4,5,5,2,no,gpt-llm
2442765,4,3,5,5,3,no,gpt-llm
1678003,2,2,5,5,2,no,gpt-llm
50801,2,3,5,5,2,no,gpt-llm
1631154,4,4,5,5,4,no,gpt-llm
248734,3,2,5,5,2,no,gpt-llm
1269422,4,4,5,5,4,no,gpt-llm
1846014,3,4,5,5,3,no,gpt-llm
1209985,5,5,5,5,5,no,gpt-llm
124113,2,3,5,5,2,no,gpt-llm
286723,5,5,5,5,5,no,gpt-llm
372899,2,4,5,5,2,no,gpt-llm
613197,1,1,5,5,1,no,gpt-llm
412472,5,5,5,5,5,no,gpt-llm
1763686,5,5,5,5,5,no,gpt-llm
675050,5,5,5,5,5,no,gpt-llm
889103,2,4,5,5,2,no,gpt-llm
1065125,5,5,5,5,5,no,gpt-llm
1970950,5,5,5,5,5,no,gpt-llm
2773274,2,2,5,5,2,no,gpt-llm
1907930,3,3,5,5,3,no,gpt-llm
2919996,3,3,5,5,3,no,gpt-llm
1040180,2,2,5,5,2,no,gpt-llm
1645459,3,3,5,5,3,no,gpt-llm
808749,5,5,5,5,5,no,gpt-llm
977094,5,5,5,5,5,no,gpt-llm
2626933,5,5,5,5,5,no,gpt-llm
593340,5,5,5,5,5,no,gpt-llm
2797231,3,3,5,5,3,no,gpt-llm
1861922,5,5,5,5,5,no,gpt-llm
2476070,3,3,5,5,3,no,gpt-llm
2868559,5,5,5,5,5,no,gpt-llm
1708752,5,4,5,5,4,no,gpt-llm
1974906,3,4,5,5,3,no,gpt-llm
2728203,3,4,5,5,3,no,gpt-llm
2358746,3,4,5,5,3,no,gpt-llm
567671,3,4,5,5,3,no,gpt-llm
282312,5,5,5,5,5,no,gpt-llm
2468992,5,5,5,5,5,no,gpt-llm
1803304,3,2,5,5,2,no,gpt-llm
1587039,1,1,4,5,1,no,gpt-llm
1537694,5,2,5,5,2,no,gpt-llm
2292397,4,4,5,5,4,no,gpt-llm
1363862,3,3,5,5,3,no,gpt-llm
2527931,5,5,5,5,5,no,gpt-llm
188304,3,4,5,5,3,no,gpt-llm
2868486,2,1,5,5,1,no,gpt-llm
2247445,4,5,5,5,4,no,gpt-llm
1031584,1,1,5,5,1,no,gpt-llm
1800951,3,4,5,5,3,no,gpt-llm
1087447,5,5,5,5,5,no,gpt-llm
292784,5,5,5,5,5,no,gpt-llm
2803432,4,4,5,5,4,no,gpt-llm
1094331,5,5,5,5,5,no,gpt-llm
2229502,5,5,5,5,5,no,gpt-llm
681584,5,5,5,5,5,no,gpt-llm
2185275,2,2,5,5,2,no,gpt-llm
239810,5,4,5,5,4,no,gpt-llm
342843,3,4,5,5,3,no,gpt-llm
984518,5,5,5,5,5,no,gpt-llm
2341849,3,4,5,5,3,no,gpt-llm
2613353,3,3,5,5,3,no,gpt-llm
1829967,4,5,5,5,4,no,gpt-llm
706928,5,3,5,5,3,no,gpt-llm
2575845,5,5,5,5,5,no,gpt-llm
1418051,3,4,5,5,3,no,gpt-llm
948547,3,3,5,5,3,no,gpt-llm
2403568,3,4,5,5,3,no,gpt-llm
2766614,5,5,5,5,5,no,gpt-llm
2072056,2,2,5,5,2,no,gpt-llm
244981,4,3,5,5,3,no,gpt-llm
1213499,5,4,5,5,4,no,gpt-llm
536644,2,3,5,5,2,no,gpt-llm
92536,1,3,5,5,1,no,gpt-llm
2090573,5,5,5,5,5,no,gpt-llm
2703215,3,3,5,5,3,no,gpt-llm
2707376,5,5,5,5,5,no,gpt-llm
2505744,5,5,5,5,5,no,gpt-llm
571118,4,4,5,5,4,no,gpt-llm
486268,1,1,4,5,1,no,gpt-llm
1962955,1,1,5,5,1,no,gpt-llm
2473499,5,5,5,5,5,no,gpt-llm
1919846,5,5,5,5,5,no,gpt-llm
457633,5,5,5,5,5,no,gpt-llm
417439,2,4,5,5,2,no,gpt-llm
327533,2,2,5,5,2,no,gpt-llm
2590442,3,3,5,5,3,no,gpt-llm
1649067,4,5,5,5,4,no,gpt-llm
2037673,2,2,5,5,2,no,gpt-llm
410513,5,5,5,5,5,no,gpt-llm
2920233,5,3,5,5,3,no,gpt-llm
613175,5,5,5,5,5,no,gpt-llm
1521851,5,5,5,5,5,no,gpt-llm
2545711,2,2,5,5,2,no,gpt-llm
1868546,2,4,5,5,2,no,heuristic-fallback
2413038,1,2,5,5,1,no,gpt-llm
2523431,2,3,5,5,2,no,gpt-llm
1846045,5,5,5,5,5,no,gpt-llm
948956,5,5,5,5,5,no,gpt-llm
2057065,3,2,5,5,2,no,gpt-llm
894888,4,5,5,5,4,no,gpt-llm
194326,5,5,5,5,5,no,gpt-llm
2793128,1,2,5,5,1,no,gpt-llm
2532785,5,5,5,5,5,no,gpt-llm
743003,5,5,5,5,5,no,gpt-llm
1858198,3,3,5,5,3,no,gpt-llm
2371132,4,4,5,5,4,no,gpt-llm
2630184,4,4,5,5,4,no,gpt-llm
2605280,2,4,5,5,2,no,gpt-llm
388101,5,5,5,5,5,no,gpt-llm
1834073,3,4,5,5,3,no,gpt-llm
2743086,3,2,5,5,2,no,gpt-llm
2945814,4,5,5,5,4,no,gpt-llm
1889045,3,2,5,5,2,no,gpt-llm
609631,2,3,5,5,2,no,gpt-llm
536789,5,5,5,5,5,no,gpt-llm
1690082,5,5,5,5,5,no,gpt-llm
529439,1,1,4,5,1,no,gpt-llm
215808,4,4,4,5,4,no,gpt-llm
499467,5,5,5,5,5,no,gpt-llm
699627,3,5,5,5,3,no,gpt-llm
146585,2,4,5,5,2,no,gpt-llm
852590,2,3,5,5,2,no,gpt-llm
1576955,1,1,5,5,1,no,gpt-llm
1421340,1,1,5,5,1,no,gpt-llm
874518,5,5,5,5,5,no,gpt-llm
1655467,3,4,5,5,3,no,gpt-llm
2915940,3,5,5,5,3,no,gpt-llm
2565925,4,4,5,5,4,no,gpt-llm
2683859,2,2,5,5,2,no,gpt-llm
1837267,5,5,5,5,5,no,gpt-llm
446491,1,2,5,5,1,no,gpt-llm
1812047,5,5,5,5,5,no,gpt-llm
2676624,3,4,5,5,3,no,gpt-llm
2754477,5,5,5,5,5,no,gpt-llm
8553,3,4,5,5,3,no,gpt-llm
