id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2565738,1,1,4,5,1,yes,gpt-llm
823168,3,5,5,5,3,no,heuristic-fallback
2266152,2,2,5,5,2,no,gpt-llm
2183235,2,3,5,5,2,no,gpt-llm
1762231,1,2,2,5,1,no,gpt-llm
763030,1,2,5,5,1,no,gpt-llm
2441809,3,3,4,5,3,no,gpt-llm
82123,2,2,5,5,2,no,gpt-llm
985205,3,3,5,5,3,no,gpt-llm
394455,2,1,5,5,1,no,gpt-llm
2849293,1,2,4,5,1,no,gpt-llm
2686611,2,1,2,5,1,no,gpt-llm
871255,2,2,4,5,2,no,gpt-llm
2139906,2,3,5,5,2,no,gpt-llm
1005740,2,3,4,5,2,yes,gpt-llm
839811,1,1,4,5,1,no,gpt-llm
2227075,2,2,5,5,2,no,gpt-llm
841032,3,3,5,5,3,no,gpt-llm
2638,2,1,4,5,1,no,gpt-llm
1353641,2,3,5,5,2,no,gpt-llm
173756,2,2,4,5,2,no,gpt-llm
1002762,2,3,5,5,2,no,heuristic-fallback
625651,4,2,4,5,2,no,gpt-llm
1152809,1,1,4,5,1,no,gpt-llm
2838682,1,1,4,5,1,yes,gpt-llm
1821487,2,3,4,5,2,no,gpt-llm
2343172,2,3,4,5,2,no,gpt-llm
2019586,4,2,4,5,2,no,gpt-llm
1942937,2,2,4,5,2,no,gpt-llm
1487149,1,1,4,5,1,no,gpt-llm
2148146,1,3,5,5,1,no,heuristic-fallback
2664912,2,3,4,5,2,no,gpt-llm
174956,2,2,5,5,2,no,gpt-llm
815395,2,3,4,5,2,no,gpt-llm
1101951,2,2,4,5,2,yes,gpt-llm
676484,1,1,4,5,1,no,gpt-llm
1966252,1,3,4,5,1,no,gpt-llm
888454,3,2,5,5,2,no,heuristic-fallback
1540636,2,2,4,5,2,no,gpt-llm
1869066,2,3,5,5,2,yes,gpt-llm
2025310,3,2,5,5,2,no,gpt-llm
545306,3,2,5,5,2,no,gpt-llm
2419762,1,2,4,5,1,no,gpt-llm
2079339,2,2,4,5,2,no,gpt-llm
1181740,1,1,3,5,1,no,gpt-llm
2615176,5,4,5,5,4,no,gpt-llm
2083382,2,2,5,5,2,no,gpt-llm
1072753,1,2,4,5,1,no,gpt-llm
1630263,1,1,4,5,1,no,gpt-llm
2849158,2,3,5,5,2,no,gpt-llm
1700991,2,3,5,5,2,no,gpt-llm
1380027,4,3,5,5,3,no,gpt-llm
1989949,2,1,5,5,1,no,gpt-llm
1579173,1,1,3,5,1,no,gpt-llm
1557830,4,4,5,5,4,no,gpt-llm
1365317,3,3,5,5,3,no,gpt-llm
889614,3,3,4,5,3,no,gpt-llm
1203437,2,1,5,5,1,yes,gpt-llm
242382,5,4,5,5,4,no,gpt-llm
1700794,1,1,2,5,1,yes,gpt-llm
2442765,2,3,5,5,2,no,heuristic-fallback
1678003,3,4,5,5,3,no,gpt-llm
50801,2,2,4,5,2,no,gpt-llm
1631154,1,1,3,5,1,no,gpt-llm
248734,2,2,4,5,2,no,gpt-llm
1269422,1,1,3,5,1,yes,gpt-llm
1846014,3,4,5,5,3,no,gpt-llm
1209985,3,2,5,5,2,no,gpt-llm
124113,3,3,5,5,3,no,gpt-llm
286723,2,3,5,5,2,no,gpt-llm
372899,1,1,4,5,1,no,gpt-llm
613197,1,1,4,4,1,yes,gpt-llm
412472,1,1,4,5,1,no,gpt-llm
1763686,2,1,3,5,1,no,gpt-llm
675050,1,1,3,4,1,yes,gpt-llm
889103,2,1,4,5,1,yes,gpt-llm
1065125,4,4,5,5,4,no,gpt-llm
1970950,2,2,4,5,2,no,gpt-llm
2773274,2,3,5,5,2,no,gpt-llm
1907930,2,3,4,5,2,no,gpt-llm
2919996,1,2,4,5,1,no,gpt-llm
1040180,3,3,5,5,3,no,gpt-llm
1645459,3,2,5,5,2,no,gpt-llm
808749,1,1,3,5,1,yes,gpt-llm
977094,3,3,5,5,3,no,gpt-llm
2626933,3,2,4,5,2,no,gpt-llm
593340,2,2,4,5,2,no,gpt-llm
