id,brand,customer_text,context_parent_text,intent_gold,reply_reference,escalate_gold,escalate_reason_gold,annotator,notes
2803432,AppleSupport,"Another quick question, the guy at the store went through all the menus setting up my phone, I would like to restore to my old phones setup, what’s the easiest way?",,setup_howto,"Thanks for reaching out. Try the setup steps in Settings on your device, then let us know your model and iOS version if you still need a hand.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
146585,AppleSupport,I have a problem with my earpods...this is my second pair that faces the same problem for the record. The right earbud stopped working all of a sudden.,,hardware_damage_repair,"Sorry to hear that. Book an inspection at your nearest Apple Store or authorised provider, and share your model plus what happened so we can advise next steps.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
2919996,AppleSupport,"@115858 @115890 Apple, why is this happening on my MacBook Pro after installing an update and how do I fix it? <URL>",,software_update,"Thanks for reporting this update issue. Try restarting, then Settings > General > Software Update again — tell us your model and iOS version plus any error shown.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
2505744,AppleSupport,how do I find my booking?,,other_offtopic,"Thanks for reaching out. Could you share a few more details — device model, iOS version, and what you were doing — so we can point you the right way?",True,MISSING-INFO:too-short,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
1537694,AppleSupport,"I don’t know, how do I check for that?",,other_offtopic,"Thanks for reaching out. Could you share a few more details — device model, iOS version, and what you were doing — so we can point you the right way?",True,MISSING-INFO:too-short,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
1989949,AppleSupport,"hi apple, I have 2 Apple id's. How do I change Apple ID accounts on the Apple Watch app and will I lose connection to watch",,account_icloud,"Thanks for reaching out. Try signing out/in at Settings > [your name], check your Apple ID at <URL>, and let us know the exact error message (never share your password).",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
2468992,AppleSupport,"So the answer is ""No, GWR are not investing in maintenance and repair"". Seems short sighted, even if new rolling stock is available. If the new stock is not in addition to the old, there will still be chronic overcrowding since the old stock will still need repair. Surely?",,other_offtopic,"Thanks for reaching out. Could you share a few more details — device model, iOS version, and what you were doing — so we can point you the right way?",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
1649067,AppleSupport,How do I delete photos from my iCloud or even look to see what’s on it? @AppleSupport,,account_icloud,"Thanks for reaching out. Try signing out/in at Settings > [your name], check your Apple ID at <URL>, and let us know the exact error message (never share your password).",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
1868546,AppleSupport,I was supposed to be on hold for 2 mins its been 20 and I need to leave. How do i reschedule call,,other_offtopic,"Thanks for reaching out. Could you share a few more details — device model, iOS version, and what you were doing — so we can point you the right way?",True,MISSING-INFO:support-logistics,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
2148146,AppleSupport,I turned off screen recording but everyone on my Snapchat keeps getting notified that I took a screenshot? How do I fully turn and disable screen recording,,setup_howto,"Thanks for reaching out. Try the setup steps in Settings on your device, then let us know your model and iOS version if you still need a hand.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
2247445,AppleSupport,:( but thank you for responding. No chance of a hook up pair of them? #hadtoask,,setup_howto,"Thanks for reaching out. Try the setup steps in Settings on your device, then let us know your model and iOS version if you still need a hand.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
2358746,AppleSupport,"Sporadic issues. Less frequent with fewer devices. However even when just the car is paired, there are still issues",,connectivity,"Thanks for reporting this. Try toggling Wi-Fi/Bluetooth off/on, restart the device and router, forget and rejoin the network — share model/iOS if it persists.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
1631154,AppleSupport,I just changed my number but my old one is still showing up on my phone. How do I change that?,,setup_howto,"Thanks for reaching out. Try the setup steps in Settings on your device, then let us know your model and iOS version if you still need a hand.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
2413038,AppleSupport,how do I cancel charges for icloud? I dont have an iphone anymore!,,billing_refund,Thanks for flagging this charge. A specialist needs to review purchases — please DM your order details (no card numbers) and we will escalate this for you.,True,RISK:billing-dispute,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
595327,AppleSupport,How do I do that?,,other_offtopic,"Thanks for reaching out. Could you share a few more details — device model, iOS version, and what you were doing — so we can point you the right way?",True,MISSING-INFO:too-short,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
823168,AppleSupport,"hi, whats going on with everything on iOS 11? My battery dies faster, my keyboard freezes sometimes and my apps won’t update",,battery_performance,"Thanks for flagging the battery drain. Check Settings > Battery for the top usage, update to the latest iOS, and share your model/iOS version so we can dig in.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
1002762,AppleSupport,I have kept my power saving mode on but still battery draining fast. Can u send me link to degrade ios10.,,battery_performance,"Thanks for flagging the battery drain. Check Settings > Battery for the top usage, update to the latest iOS, and share your model/iOS version so we can dig in.",False,OK:auto-resolvable,author-single-pass-2026-09-10,weak-draft-reviewed; truncated tweets native to twcs (ellipsis)
