id,groundedness,helpfulness,tone,safety,overall,hallucinated
2849158,4,4,5,5,4,no
1587039,2,2,4,5,2,no
2868559,3,3,5,5,3,no
2358746,2,2,5,5,2,no
2615176,2,3,5,5,3,no
2919996,2,2,5,5,2,no
446491,2,3,5,5,3,no
92536,3,4,5,5,4,no
2849293,1,1,4,5,1,no
1858198,4,4,5,5,4,no
1829967,1,2,4,5,2,no
1700794,4,4,5,5,4,no
2707376,3,3,5,5,3,no
2838682,4,4,5,5,4,no
2754477,2,2,5,5,2,no
706928,4,4,5,5,4,no
2079339,2,2,5,5,2,no
2915940,1,2,4,5,2,no
2229502,2,2,5,5,2,no
1645459,2,3,5,5,3,no
1919846,3,3,5,5,3,no
1970950,1,1,4,5,1,no
1630263,1,2,4,5,1,no
1837267,4,4,5,5,4,no
1005740,3,3,5,5,3,no
2442765,2,3,5,5,3,no
1974906,3,4,5,5,3,no
545306,3,3,5,5,3,no
188304,3,4,5,5,3,no
839811,4,3,5,5,4,no
609631,1,2,4,5,1,no
556226,2,2,4,5,2,no
536789,3,3,5,5,3,no
2343172,3,3,5,5,3,no
173756,2,2,5,5,2,no
2626933,2,3,5,5,3,no
1579173,3,4,5,5,3,no
743003,4,3,5,5,4,no
327533,4,4,5,5,4,no
2565925,2,3,4,5,3,no
529439,1,1,4,5,1,no
1762231,2,2,5,5,2,no
1821487,3,4,5,5,3,no
1181740,4,4,5,5,4,no
1803304,1,2,4,5,1,no
2613353,1,2,4,5,1,no
394455,2,2,4,5,2,no
977094,2,2,4,5,2,no
50801,4,4,5,5,4,no
2090573,2,3,5,5,3,no
