id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2565738,1,4,5,5,1,no,heuristic-fallback
823168,2,4,5,5,2,no,heuristic-fallback
2266152,2,4,5,5,2,no,heuristic-fallback
2183235,2,4,5,5,2,no,heuristic-fallback
1762231,2,4,5,5,2,no,heuristic-fallback
763030,1,4,5,5,1,no,heuristic-fallback
2441809,2,4,5,5,2,no,heuristic-fallback
82123,2,4,5,5,2,no,heuristic-fallback
985205,2,4,5,5,2,no,heuristic-fallback
394455,1,4,5,5,1,no,heuristic-fallback
2849293,1,4,5,5,1,no,heuristic-fallback
2686611,2,4,5,5,2,no,heuristic-fallback
871255,1,4,5,5,1,no,heuristic-fallback
2139906,1,4,5,5,1,no,heuristic-fallback
1005740,2,4,5,5,2,no,heuristic-fallback
839811,2,4,5,5,2,no,heuristic-fallback
2227075,1,4,5,5,1,no,heuristic-fallback
841032,2,4,5,5,2,no,heuristic-fallback
2638,1,4,5,5,1,no,heuristic-fallback
1353641,1,4,5,5,1,no,heuristic-fallback
173756,2,4,5,5,2,no,heuristic-fallback
1002762,1,4,5,5,1,no,heuristic-fallback
625651,2,4,5,5,2,no,heuristic-fallback
1152809,1,4,5,5,1,no,heuristic-fallback
2838682,1,4,5,5,1,no,heuristic-fallback
1821487,1,4,5,5,1,no,heuristic-fallback
2343172,2,4,5,5,2,no,heuristic-fallback
2019586,2,4,5,5,2,no,heuristic-fallback
1942937,1,4,5,5,1,no,heuristic-fallback
1487149,2,4,5,5,2,no,heuristic-fallback
2148146,1,4,5,5,1,no,heuristic-fallback
2664912,2,4,5,5,2,no,heuristic-fallback
174956,1,4,5,5,1,no,heuristic-fallback
815395,1,4,5,5,1,no,heuristic-fallback
1101951,2,4,5,5,2,no,heuristic-fallback
676484,2,4,5,5,2,no,heuristic-fallback
1966252,2,4,5,5,2,no,heuristic-fallback
888454,2,4,5,5,2,no,heuristic-fallback
1540636,1,4,5,5,1,no,heuristic-fallback
1869066,2,4,5,5,2,no,heuristic-fallback
2025310,1,4,5,5,1,no,heuristic-fallback
545306,1,4,5,5,1,no,heuristic-fallback
2419762,2,4,5,5,2,no,heuristic-fallback
2079339,3,4,5,5,3,no,heuristic-fallback
1181740,1,4,5,5,1,no,heuristic-fallback
2615176,2,4,5,5,2,no,heuristic-fallback
2083382,1,4,5,5,1,no,heuristic-fallback
1072753,1,4,5,5,1,no,heuristic-fallback
1630263,2,4,5,5,2,no,heuristic-fallback
2849158,1,4,5,5,1,no,heuristic-fallback
1700991,1,4,5,5,1,no,heuristic-fallback
1380027,2,4,5,5,2,no,heuristic-fallback
1989949,1,4,5,5,1,no,heuristic-fallback
1579173,1,4,5,5,1,no,heuristic-fallback
1557830,1,4,5,5,1,no,heuristic-fallback
1365317,1,4,5,5,1,no,heuristic-fallback
889614,2,4,5,5,2,no,heuristic-fallback
1203437,1,4,5,5,1,no,heuristic-fallback
242382,2,4,5,5,2,no,heuristic-fallback
1700794,1,4,5,5,1,no,heuristic-fallback
2442765,1,4,5,5,1,no,heuristic-fallback
1678003,1,4,5,5,1,no,heuristic-fallback
50801,1,4,5,5,1,no,heuristic-fallback
1631154,1,4,5,5,1,no,heuristic-fallback
248734,2,4,5,5,2,no,heuristic-fallback
1269422,1,4,5,5,1,no,heuristic-fallback
1846014,2,4,5,5,2,no,heuristic-fallback
1209985,2,4,5,5,2,no,heuristic-fallback
124113,1,4,5,5,1,no,heuristic-fallback
286723,2,4,5,5,2,no,heuristic-fallback
372899,1,4,5,5,1,no,heuristic-fallback
613197,2,4,5,5,2,no,heuristic-fallback
412472,2,4,5,5,2,no,heuristic-fallback
1763686,2,4,5,5,2,no,heuristic-fallback
675050,2,4,5,5,2,no,heuristic-fallback
889103,1,4,5,5,1,no,heuristic-fallback
1065125,2,4,5,5,2,no,heuristic-fallback
1970950,2,4,5,5,2,no,heuristic-fallback
2773274,1,4,5,5,1,no,heuristic-fallback
1907930,1,4,5,5,1,no,heuristic-fallback
2919996,1,4,5,5,1,no,heuristic-fallback
1040180,1,4,5,5,1,no,heuristic-fallback
1645459,2,4,5,5,2,no,heuristic-fallback
808749,2,4,5,5,2,no,heuristic-fallback
977094,2,4,5,5,2,no,heuristic-fallback
2626933,2,4,5,5,2,no,heuristic-fallback
593340,2,4,5,5,2,no,heuristic-fallback
2797231,1,4,5,5,1,no,heuristic-fallback
1861922,2,4,5,5,2,no,heuristic-fallback
2476070,2,4,5,5,2,no,heuristic-fallback
2868559,2,4,5,5,2,no,heuristic-fallback
1708752,3,4,5,5,3,no,heuristic-fallback
1974906,1,4,5,5,1,no,heuristic-fallback
2728203,2,4,5,5,2,no,heuristic-fallback
2358746,1,4,5,5,1,no,heuristic-fallback
567671,1,4,5,5,1,no,heuristic-fallback
282312,2,4,5,5,2,no,heuristic-fallback
2468992,2,4,5,5,2,no,heuristic-fallback
1803304,1,4,5,5,1,no,heuristic-fallback
1587039,2,4,5,5,2,no,heuristic-fallback
1537694,2,4,5,5,2,no,heuristic-fallback
2292397,1,4,5,5,1,no,heuristic-fallback
1363862,1,4,5,5,1,no,heuristic-fallback
2527931,2,4,5,5,2,no,heuristic-fallback
188304,1,4,5,5,1,no,heuristic-fallback
2868486,1,4,5,5,1,no,heuristic-fallback
2247445,1,4,5,5,1,no,heuristic-fallback
1031584,1,4,5,5,1,no,heuristic-fallback
1800951,1,4,5,5,1,no,heuristic-fallback
1087447,2,4,5,5,2,no,heuristic-fallback
292784,2,4,5,5,2,no,heuristic-fallback
2803432,1,4,5,5,1,no,heuristic-fallback
1094331,2,4,5,5,2,no,heuristic-fallback
2229502,2,4,5,5,2,no,heuristic-fallback
681584,2,4,5,5,2,no,heuristic-fallback
2185275,1,4,5,5,1,no,heuristic-fallback
239810,1,4,5,5,1,no,heuristic-fallback
342843,1,4,5,5,1,no,heuristic-fallback
984518,2,4,5,5,2,no,heuristic-fallback
2341849,1,4,5,5,1,no,heuristic-fallback
2613353,2,4,5,5,2,no,heuristic-fallback
1829967,1,4,5,5,1,no,heuristic-fallback
706928,2,4,5,5,2,no,heuristic-fallback
