id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2565738,3,3,5,5,3,no,heuristic-fallback
823168,3,5,5,5,3,no,heuristic-fallback
2266152,4,3,5,5,3,no,heuristic-fallback
2183235,4,3,5,5,3,no,heuristic-fallback
1762231,4,3,5,5,3,no,heuristic-fallback
763030,1,3,5,5,1,no,heuristic-fallback
2441809,1,5,5,5,1,no,heuristic-fallback
82123,2,3,5,5,2,no,heuristic-fallback
985205,2,5,5,5,2,no,heuristic-fallback
394455,3,3,5,5,3,no,heuristic-fallback
2849293,3,3,5,5,3,no,heuristic-fallback
2686611,3,4,5,5,3,no,heuristic-fallback
871255,5,3,5,5,3,no,heuristic-fallback
2139906,3,3,5,5,3,no,heuristic-fallback
1005740,3,3,5,5,3,no,heuristic-fallback
839811,2,3,5,5,2,no,heuristic-fallback
2227075,2,4,5,5,2,no,heuristic-fallback
841032,3,3,5,5,3,no,heuristic-fallback
2638,2,3,5,5,2,no,heuristic-fallback
1353641,2,4,5,5,2,no,heuristic-fallback
173756,1,5,5,5,1,no,heuristic-fallback
1002762,2,3,5,5,2,no,heuristic-fallback
625651,2,3,5,5,2,no,heuristic-fallback
1152809,5,4,5,5,4,no,heuristic-fallback
2838682,5,3,5,5,3,no,heuristic-fallback
1821487,4,3,5,5,3,no,heuristic-fallback
2343172,3,3,5,5,3,no,heuristic-fallback
2019586,4,3,5,5,3,no,heuristic-fallback
1942937,2,3,5,5,2,no,heuristic-fallback
1487149,1,4,5,5,1,no,heuristic-fallback
2148146,1,3,5,5,1,no,heuristic-fallback
2664912,2,3,5,5,2,no,heuristic-fallback
174956,3,3,5,5,3,no,heuristic-fallback
815395,1,3,5,5,1,no,heuristic-fallback
1101951,2,5,5,5,2,no,heuristic-fallback
676484,2,4,5,5,2,no,heuristic-fallback
1966252,4,3,5,5,3,no,heuristic-fallback
888454,3,2,5,5,2,no,heuristic-fallback
1540636,1,3,5,5,1,no,heuristic-fallback
1869066,1,3,5,5,1,no,heuristic-fallback
2025310,2,5,5,5,2,no,heuristic-fallback
545306,2,4,5,5,2,no,heuristic-fallback
2419762,3,5,5,5,3,no,heuristic-fallback
2079339,1,3,5,5,1,no,heuristic-fallback
1181740,1,3,5,5,1,no,heuristic-fallback
2615176,2,3,5,5,2,no,heuristic-fallback
2083382,3,3,5,5,3,no,heuristic-fallback
1072753,5,3,5,5,3,no,heuristic-fallback
1630263,3,4,5,5,3,no,heuristic-fallback
2849158,1,3,5,5,1,no,heuristic-fallback
1700991,2,5,5,5,2,no,heuristic-fallback
1380027,2,3,5,5,2,no,heuristic-fallback
1989949,4,4,5,5,4,no,heuristic-fallback
1579173,5,5,5,5,5,no,heuristic-fallback
1557830,2,5,5,5,2,no,heuristic-fallback
1365317,2,3,5,5,2,no,heuristic-fallback
889614,3,3,5,5,3,no,heuristic-fallback
1203437,5,5,5,5,5,no,heuristic-fallback
242382,2,3,5,5,2,no,heuristic-fallback
1700794,3,3,5,5,3,no,heuristic-fallback
2442765,2,3,5,5,2,no,heuristic-fallback
1678003,3,4,5,5,3,no,heuristic-fallback
50801,4,4,5,5,4,no,heuristic-fallback
1631154,2,3,5,5,2,no,heuristic-fallback
248734,1,5,5,5,1,no,heuristic-fallback
1269422,4,3,5,5,3,no,heuristic-fallback
1846014,3,3,5,5,3,no,heuristic-fallback
1209985,3,3,5,5,3,no,heuristic-fallback
124113,3,4,5,5,3,no,heuristic-fallback
286723,2,4,5,5,2,no,heuristic-fallback
372899,5,4,5,2,2,no,heuristic-fallback
