id,groundedness,helpfulness,tone,safety,overall,hallucinated,model
2565738,1,1,4,5,1,no,gpt-llm
823168,1,2,4,5,1,no,gpt-llm
2266152,1,2,4,5,1,no,gpt-llm
2183235,2,3,4,5,2,no,gpt-llm
1762231,3,3,4,5,3,no,gpt-llm
763030,1,1,4,5,1,no,gpt-llm
2441809,5,5,5,5,5,no,gpt-llm
82123,3,3,5,5,3,no,gpt-llm
985205,5,5,5,5,5,no,gpt-llm
394455,2,2,5,5,2,no,gpt-llm
2849293,2,3,5,5,2,no,gpt-llm
2686611,2,1,3,5,1,no,gpt-llm
871255,3,3,5,5,3,no,gpt-llm
2139906,3,3,4,5,3,no,gpt-llm
1005740,2,2,4,5,2,no,gpt-llm
839811,1,1,5,5,1,no,gpt-llm
2227075,1,2,4,5,1,no,gpt-llm
841032,4,2,4,5,2,no,gpt-llm
2638,1,1,4,5,1,no,gpt-llm
1353641,1,1,4,5,1,no,gpt-llm
173756,5,4,5,5,4,no,gpt-llm
1002762,1,1,4,4,1,yes,gpt-llm
625651,5,5,5,5,5,no,gpt-llm
1152809,2,1,4,5,1,no,gpt-llm
2838682,1,1,3,5,1,no,gpt-llm
1821487,2,3,5,5,2,no,gpt-llm
2343172,2,2,3,5,2,no,gpt-llm
2019586,2,2,4,5,2,no,gpt-llm
1942937,1,2,5,5,1,no,gpt-llm
1487149,5,5,5,5,5,no,gpt-llm
2148146,1,1,4,5,1,yes,gpt-llm
2664912,2,3,5,5,2,no,gpt-llm
174956,1,1,3,5,1,yes,gpt-llm
815395,2,3,5,5,2,no,gpt-llm
1101951,2,2,2,5,2,no,gpt-llm
676484,2,2,5,5,2,no,gpt-llm
1966252,5,5,5,5,5,no,gpt-llm
888454,3,2,5,5,2,no,heuristic-fallback
1540636,1,2,4,5,1,no,gpt-llm
1869066,2,3,5,5,2,no,gpt-llm
2025310,2,3,5,5,2,no,gpt-llm
545306,3,4,5,5,3,no,gpt-llm
2419762,3,2,5,5,2,no,gpt-llm
2079339,2,1,4,5,1,no,gpt-llm
1181740,1,1,3,5,1,no,gpt-llm
2615176,5,5,5,5,5,no,gpt-llm
2083382,2,1,5,5,1,no,gpt-llm
1072753,1,1,4,5,1,no,gpt-llm
1630263,5,5,5,5,5,no,gpt-llm
2849158,3,3,5,5,3,no,gpt-llm
1700991,2,2,5,5,2,no,gpt-llm
1380027,5,5,5,5,5,no,gpt-llm
1989949,1,2,4,5,1,no,gpt-llm
1579173,5,3,5,5,3,no,gpt-llm
1557830,1,1,4,5,1,no,gpt-llm
1365317,3,4,4,5,3,no,gpt-llm
889614,5,5,5,5,5,no,gpt-llm
1203437,2,2,4,5,2,yes,gpt-llm
242382,5,5,5,5,5,no,gpt-llm
1700794,4,4,5,5,4,no,gpt-llm
2442765,1,1,4,5,1,no,gpt-llm
1678003,2,2,5,5,2,no,gpt-llm
50801,3,4,4,5,3,no,gpt-llm
1631154,1,1,4,5,1,no,gpt-llm
248734,2,2,4,5,2,no,gpt-llm
1269422,2,2,4,5,2,yes,gpt-llm
1846014,3,4,5,5,3,no,gpt-llm
1209985,1,2,5,5,1,no,gpt-llm
124113,4,5,5,5,4,no,gpt-llm
286723,3,4,5,5,3,no,gpt-llm
372899,1,1,4,5,1,no,gpt-llm
613197,1,1,4,5,1,no,gpt-llm
412472,5,5,5,5,5,no,gpt-llm
1763686,3,3,5,5,3,no,heuristic-fallback
675050,2,4,5,5,2,no,gpt-llm
889103,2,1,3,5,1,no,gpt-llm
1065125,1,2,5,5,1,no,gpt-llm
1970950,1,2,4,5,1,no,gpt-llm
2773274,2,3,4,5,2,no,gpt-llm
1907930,2,3,4,5,2,no,gpt-llm
2919996,1,2,4,5,1,no,gpt-llm
1040180,1,2,4,5,1,no,gpt-llm
1645459,2,3,5,5,2,no,gpt-llm
808749,1,1,3,4,1,yes,gpt-llm
977094,4,3,5,5,3,no,gpt-llm
2626933,5,5,5,5,5,no,gpt-llm
593340,5,5,5,5,5,no,gpt-llm
2797231,1,1,2,5,1,no,gpt-llm
1861922,4,4,5,5,4,no,gpt-llm
2476070,5,3,5,5,3,no,gpt-llm
2868559,3,3,4,5,3,no,gpt-llm
1708752,5,5,5,5,5,no,gpt-llm
1974906,1,1,2,5,1,yes,gpt-llm
2728203,1,2,4,5,1,no,gpt-llm
2358746,2,1,5,5,1,no,gpt-llm
567671,2,2,5,5,2,no,gpt-llm
282312,1,1,4,5,1,no,gpt-llm
2468992,1,1,3,5,1,yes,gpt-llm
1803304,1,1,4,5,1,no,gpt-llm
1587039,1,1,3,5,1,no,gpt-llm
1537694,3,2,5,5,2,no,gpt-llm
2292397,2,2,5,5,2,no,gpt-llm
1363862,3,4,5,5,3,no,gpt-llm
2527931,1,2,4,5,1,no,gpt-llm
188304,1,2,5,5,1,no,gpt-llm
2868486,2,2,5,5,2,no,gpt-llm
2247445,1,1,4,5,1,no,gpt-llm
1031584,1,1,5,5,1,no,gpt-llm
1800951,3,3,5,5,3,no,gpt-llm
1087447,5,4,5,5,4,no,gpt-llm
292784,3,3,5,5,3,no,gpt-llm
2803432,1,1,3,5,1,no,gpt-llm
1094331,2,3,4,5,2,no,gpt-llm
2229502,5,5,5,5,5,no,gpt-llm
681584,2,2,4,5,2,no,gpt-llm
2185275,3,3,5,5,3,no,gpt-llm
239810,1,1,4,5,1,no,gpt-llm
342843,2,2,4,5,2,no,gpt-llm
984518,2,2,5,5,2,no,gpt-llm
2341849,1,1,4,5,1,yes,gpt-llm
2613353,1,2,4,5,1,yes,gpt-llm
1829967,1,1,3,5,1,no,gpt-llm
706928,1,1,4,5,1,no,gpt-llm
2575845,5,5,5,5,5,no,gpt-llm
1418051,3,3,5,5,3,no,heuristic-fallback
948547,1,1,4,5,1,no,gpt-llm
2403568,1,1,4,5,1,no,gpt-llm
2766614,3,3,4,5,3,no,gpt-llm
2072056,1,1,4,5,1,no,gpt-llm
244981,1,1,4,5,1,yes,gpt-llm
1213499,2,2,4,5,2,no,gpt-llm
536644,2,2,4,5,2,no,gpt-llm
92536,3,3,5,5,3,no,gpt-llm
2090573,2,2,4,5,2,no,gpt-llm
2703215,1,1,4,5,1,yes,gpt-llm
2707376,1,1,5,5,1,no,gpt-llm
2505744,1,1,4,5,1,yes,gpt-llm
571118,3,3,5,5,3,no,gpt-llm
486268,1,2,5,5,1,no,gpt-llm
1962955,2,4,5,5,2,no,heuristic-fallback
2473499,5,5,5,5,5,no,gpt-llm
1919846,3,2,4,5,2,no,gpt-llm
457633,1,1,3,5,1,no,gpt-llm
417439,1,1,3,4,1,yes,gpt-llm
327533,2,2,5,5,2,no,gpt-llm
2590442,1,2,5,5,1,no,gpt-llm
1649067,4,2,5,5,2,no,gpt-llm
2037673,2,3,5,5,2,no,gpt-llm
410513,3,2,5,5,2,no,gpt-llm
2920233,5,5,5,5,5,no,gpt-llm
613175,5,4,5,5,4,no,gpt-llm
1521851,1,1,4,5,1,no,gpt-llm
2545711,1,1,4,5,1,no,gpt-llm
1868546,3,2,5,5,2,no,gpt-llm
2413038,2,3,5,5,2,no,heuristic-fallback
2523431,1,1,4,4,1,yes,gpt-llm
1846045,2,2,4,5,2,no,gpt-llm
948956,3,2,4,5,2,no,gpt-llm
2057065,2,2,4,5,2,no,gpt-llm
894888,3,4,5,5,3,no,gpt-llm
194326,4,4,5,5,4,no,gpt-llm
2793128,1,1,5,5,1,no,gpt-llm
2532785,5,5,5,5,5,no,gpt-llm
743003,2,2,5,5,2,no,gpt-llm
1858198,2,2,5,5,2,no,gpt-llm
2371132,1,1,3,5,1,no,gpt-llm
2630184,4,2,4,5,2,no,gpt-llm
2605280,2,3,5,5,2,no,gpt-llm
388101,2,3,3,5,2,yes,gpt-llm
1834073,4,3,5,5,3,no,heuristic-fallback
2743086,2,2,4,5,2,no,gpt-llm
2945814,5,3,5,5,3,no,heuristic-fallback
1889045,1,2,5,5,1,no,gpt-llm
609631,3,3,5,5,3,no,gpt-llm
536789,1,1,3,5,1,no,gpt-llm
1690082,1,1,2,5,1,no,gpt-llm
529439,5,5,5,5,5,no,gpt-llm
215808,1,2,4,5,1,no,gpt-llm
499467,4,4,5,5,4,no,gpt-llm
699627,2,2,4,5,2,no,gpt-llm
146585,1,1,4,5,1,no,gpt-llm
852590,2,2,4,5,2,no,gpt-llm
1576955,1,1,4,5,1,no,gpt-llm
1421340,1,1,5,5,1,no,gpt-llm
874518,1,2,4,5,1,yes,gpt-llm
1655467,2,3,5,5,2,no,gpt-llm
2915940,5,5,5,5,5,no,gpt-llm
2565925,1,1,4,5,1,no,gpt-llm
2683859,1,1,3,5,1,yes,gpt-llm
1837267,4,4,5,5,4,no,gpt-llm
446491,2,2,4,5,2,no,gpt-llm
1812047,5,5,5,5,5,no,gpt-llm
2676624,3,3,5,5,3,no,gpt-llm
2754477,5,5,5,5,5,no,gpt-llm
8553,4,4,5,5,4,no,gpt-llm
556226,2,2,4,5,2,no,gpt-llm
595327,5,5,5,5,5,no,gpt-llm
756619,3,3,5,5,3,no,gpt-llm
1205835,5,5,5,5,5,no,gpt-llm
2312550,1,1,3,5,1,no,gpt-llm
